show_id|IMDB_id|type|title|release_year|rating|popularity|genres|PG|duration|seasons|director|date_added|country|cast|description
70139074|tt1438298|Movie|Guzaarish|2010|7.4|17202|Dramas, International Movies|TV-14|121||Sanjay Leela Bhansali|August 2, 2018|India|Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor, Nafisa Ali, Monikangana Dutta, Suhel Seth, Rajit Kapoor, Ash Chandler, Vijay Crishna|After an onstage disaster leaves an illusionist paralyzed, he channels his magic into a hit radio show. Years later, he fights for the right to die.
70303432|tt3390572|Movie|Haider|2014|8.1|50251|Dramas, International Movies, Romantic Movies|TV-MA|154||Vishal Bhardwaj|August 2, 2018|India|Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon, Irrfan Khan, Narendra Jha|Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.
70303424|tt2980794|Movie|Highway|2014|7.6|26386|Action & Adventure, Dramas, International Movies|TV-14|127||Imtiaz Ali|August 2, 2018|India|Randeep Hooda, Alia Bhatt, Durgesh Kumar, Pradeep Nagar|City girl Veera is kidnapped on the eve of her wedding, but as her captors take her through the countryside, Veera finds herself feeling emancipated.
70139071|tt1667838|Movie|I Hate Luv Storys|2010|5.6|7509|Comedies, International Movies, Music & Musicals|TV-14|128||Punit Malhotra|August 2, 2018|India|Imran Khan, Sonam Kapoor, Sammir Dattani, Samir Soni, Kavin Dave, Bruna Abdullah|This Bollywood spoof recounts the ups and downs of an assistant film director who loathes romance and a designer who adores all things sentimental.
70219529||Movie|Joker|2012|||Comedies, International Movies, Music & Musicals|TV-PG|98||Shirish Kunder|August 2, 2018|India|Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minissha Lamba, Pitobash, Darshan Jariwala, Alexx O'Nell, Asrani, Sanjay Mishra, Vrijesh Hirjee|A remote village situated neither in India or Pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over.
70056059|tt0466460|Movie|Khosla Ka Ghosla|2006|8.3|22194|Comedies, Dramas, International Movies|TV-14|124||Dibakar Banerjee|August 2, 2018|India|Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma, Navin Nischol, Kiran Juneja, Ranvir Shorey, Vinod Nagpal, Vinay Pathak, Nitish Pandey|A cranky control freak must rely on his comically dysfunctional family to pull off a scam on a greedy land shark who's stolen his prized property.
70114589|tt1174041|Movie|Main aurr Mrs. Khanna|2009|3.5|2679|International Movies, Music & Musicals, Romantic Movies|TV-PG|109||Prem Soni|August 2, 2018|India|Salman Khan, Kareena Kapoor, Sohail Khan, Preity Zinta, Bappi Lahiri, Yash Tonk, Nauheed Cyrusi, Mahek Chahal|A financially troubled Indian man heads to Singapore to find employment, while his pretty wife stays behind in a move that could cause trouble.
80104257|tt3859980|Movie|Mohenjo Daro|2016|5.7|10536|Action & Adventure, Dramas, International Movies|TV-14|168||Ashutosh Gowariker|August 2, 2018|India|Hrithik Roshan, Sonakshi Sinha, Pooja Hegde, Kabir Bedi, Arunoday Singh, Kishori Shahane, Narendra Jha, Nitish Bharadwaj|A courageous villager moves to the ancient city of Mohenjo Daro, where he falls for the daughter of a priest and does battle with a tyrant.
80997865|tt0086047|Movie|On the Wrong Track|1983|5.4|100|Action & Adventure, International Movies|TV-14|89||Clarence Yiu-leung Fok|August 2, 2018|Hong Kong|Andy Lau, Yim Chau-wah, Wai Yee Chan, Prudence Liew, Poon Wang Ban, Hua Yueh, Wong Kung-miu|Two rebellious, hot-headed teenage brothers get caught up in gang life, which has dangerous repercussions for their family and friends.
70123124|tt1291465|Movie|Raajneeti|2010|7.1|16348|Dramas, International Movies, Thrillers|TV-MA|162||Prakash Jha|August 2, 2018|India|Ajay Devgn, Nana Patekar, Ranbir Kapoor, Katrina Kaif, Arjun Rampal, Manoj Bajpayee, Sarah Thompson, Naseeruddin Shah|When the American-educated scion of a powerful Indian family returns to the subcontinent, his first taste of power starts him down a corrupt path.
70047320|tt0405508|Movie|Rang De Basanti|2006|8.2|111388|Dramas, International Movies|TV-MA|159||Rakeysh Omprakash Mehra|August 2, 2018|India|Aamir Khan, Siddharth, Atul Kulkarni, Sharman Joshi, Kunal Kapoor, Alice Patten, Soha Ali Khan, Waheeda Rehman, Kiron Kher, Om Puri, Anupam Kher, Madhavan|An idealistic English filmmaker casts a group of student actors in her docudrama about India's revolution against British rule in the 1920s.
70229043|tt2077833|Movie|Rowdy Rathore|2012|5.7|20473|Action & Adventure, Comedies, International Movies|TV-MA|137||Prabhu Deva|August 2, 2018|India|Akshay Kumar, Sonakshi Sinha, Nasser, Yashpal Sharma, Paresh Ganatra, Gurdip Kohli, Mushtaq Khan, Amit Kumar Tiwari|A con man uncovers a deadly secret and must save his lady love, the little girl who insists she's his daughter and the small-town locals from the mob.
80087743|tt3148502|Movie|Tamasha|2015|7.3|23381|Dramas, International Movies, Romantic Movies|TV-PG|133||Imtiaz Ali|August 2, 2018|India|Ranbir Kapoor, Deepika Padukone, Piyush Mishra, Javed Sheikh, Nikhil Bhagat, Faraaz Servaia|Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again.
70139078|tt1572311|Movie|Tees Maar Khan|2010|2.5|11432|Comedies, International Movies, Music & Musicals|TV-PG|125||Farah Khan|August 2, 2018|India|Katrina Kaif, Akshay Kumar, Akshaye Khanna, Arya Babbar, Rajiv Lakshman, Raghu Ram, Vijay Maurya, Dharampal, Ali Asghar, Murli Sharma|A flamboyant con artist and his band of gleeful robbers gamble with fate when smugglers hire them to swipe antiques from a speeding train.
70229041|tt2130242|Movie|Tere Naal Love Ho Gaya|2012|5.8|4032|Comedies, International Movies, Romantic Movies|TV-PG|127||Mandeep Kumar|August 2, 2018|India|Riteish Deshmukh, Genelia D'Souza, Tinnu Anand, Om Puri, Smita Jaykar, Chitrashi Rawat, Navin Prabhakar, Kartar Cheema|Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father.
70187503|tt1720254|Movie|Thank You|2011|4.6|5255|Comedies, International Movies, Romantic Movies|TV-14|131||Anees Bazmee|August 2, 2018|India|Akshay Kumar, Bobby Deol, Sonam Kapoor, Irrfan Khan, Sunil Shetty, Rimi Sen, Celina Jaitly|Three cheating husbands end up paying the price for their infidelities when their spouses hire a private detective – who falls for one of the wives.
70075775|tt0457802|Movie|The Blue Umbrella|2005|7.5|1858|Children & Family Movies, Dramas, Independent Movies|TV-PG|90||Vishal Bhardwaj|August 2, 2018|India|Pankaj Kapur, Shreya Sharma, Dolly Ahluwalia, Deepak Dobriyal, Rahul Kumar, Paramjit Singh Kakran, Piu Dutt, Samrat Mukherjee|A charming allegory based on a novella by Ruskin Bond, this visually stunning film from India explores themes of greed, loneliness, longing and loss.
70204316|tt2084872|Movie|Lavell Crawford: Can a Brother Get Some Love?|2011|7.1|198|Stand-Up Comedy|NR|81||Michael Drumm|August 2, 2016|United States|Lavell Crawford|"""Last Comic Standing"" runner-up Lavell Crawford lords over a hometown crowd at St. Louis's Orpheum Theatre, raking in the love – and the laughs."
80234464|tt5235026|Movie|Attitude Test|2016|2.4|185|Comedies, Independent Movies, International Movies|TV-14|88||Fabrizio Copano, Augusto Matte|August 19, 2018|Chile|Belén Soto, Denise Rosenthal, Constanza Piccoli, Fabiola Alarcón, Lucas Balmaceda, Agustín Silva, Camilo Carmona, Ingrid Cruz, Elvis Fuentes, Samuel Landea|"Four high school seniors steal an important college entrance exam and go on vacation to ""study,"" but accidentally lose the exam while partying."
80209558|tt3056386|Movie|Barrio Universitario|2013|3.5|326|Comedies, International Movies|TV-14|91||Esteban Vidal|August 19, 2018|Chile|Fabrizio Copano, Rodrigo Salinas, Pedro Ruminot, Sergio Freire, Juanita Ringeling, Alessandra Denegri, Luis Dubó, Felipe Avello|Four friends from a humble technical school compete against the elite students of a prestigious university in a robot-building contest.
80209722||Movie|Héroes|2015|||Comedies, International Movies|TV-MA|91||Esteban Vidal|August 19, 2018|Chile|Fabrizio Copano, Juanita Ringeling, Fernando Alarcón, Delfina Guzmán, Paty Cofré, Andrés Rillón, Julio Jung, Nicolás Oyarzún|When an earthquake hits Chile, rescue workers must put aside their differences to save the country from a businessman's evil scheme.
80153897||Movie|Hide and Seek|2016|||International Movies, Thrillers|TV-14|104||Liu Jie|August 19, 2017|China|Wallace Huo, Qin Hailu, Regina Wan, Jessie Li, Dong Zijian, Li Yiqing, Fan Qianhui|While living a comfortable life with his wife and child, a germophobic man realizes his estranged brother may have committed a terrible crime.
80138469|tt4687848|Movie|Railroad Tigers|2016|5.8|3832|Action & Adventure, Comedies, International Movies|TV-14|124||Ding Sheng|August 19, 2017|China|Jackie Chan, Zitao Huang, Jaycee Chan, Wang Kai, Hiroyuki Ikeuchi, Sang Ping, Alan Ng, Xu Fan, Darren Wang|During World War II, a Chinese railroad worker leads a group of brave resistance fighters against the forces of Japanese occupation.
80078197|tt5973164|TV Show|Fearless|2016|7.6|3684|Docuseries|TV-14||1||August 19, 2016|United States|Adriano Moraes, J.B. Mauney, Silvano Alves, Kaique Pacheco, Guilherme Marchi, Robson Palermo|On a journey from Brazil to the Las Vegas championships, professional bull riders risk it all to earn money, respect and titles.
80118930||Movie|I'll Sleep When I'm Dead|2016|||Documentaries, Music & Musicals|TV-MA|80||Justin Krook|August 19, 2016|United States|Steve Aoki|Superstar DJ Steve Aoki reflects on the driving force behind his career: his ambitious father, Benihana founder and perennial daredevil Rocky Aoki.
80202810||Movie|Alejandro Sanz: What I Was Is What I Am|2018|||Documentaries, International Movies, Music & Musicals|TV-14|102||Gervasio Iglesias, Alexis Morante|August 18, 2018|Spain|Alejandro Sanz|A retrospective look at the life and career of Grammy-award winning Spanish musician Alejandro Sanz.
80201039|tt5117670|Movie|Peter Rabbit|2018|6.6|35159|Children & Family Movies, Comedies|PG|95||Will Gluck|August 18, 2018|United States, Australia|James Corden, Domhnall Gleeson, Rose Byrne, Margot Robbie, Daisy Ridley, Elizabeth Debicki, Vauxhall Jermaine, Marianne Jean-Baptiste, Sia, Colin Moody|In this mix of live action and CGI, rascally Peter Rabbit faces a tough new foe in his ongoing battle for the veggies in Mr. McGregor's garden.
80989848|tt5011296|TV Show|Save Our Shelter|2015|7.5|31|Reality TV|TV-G||1||August 18, 2018|United States|Rocky Kanaka, Rob North|Pet rescue expert Rocky Kanaka and renovation specialist Rob North travel across North America, transforming animal shelters to help homeless pets.
80002566|tt4230076|TV Show|Marvel's The Defenders|2017|7.3|89865|Crime TV Shows, TV Action & Adventure, TV Dramas|TV-MA||1||August 18, 2017|United States|Charlie Cox, Krysten Ritter, Mike Colter, Finn Jones, Sigourney Weaver, Elodie Yung, Elden Henson, Jessica Henwick, Simone Missick, Rachael Taylor, Deborah Ann Woll, Rosario Dawson, Carrie-Anne Moss, Eka Darville, Scott Glenn|Daredevil, Jessica Jones, Luke Cage and Iron Fist join forces to take on common enemies as a sinister conspiracy threatens New York City.
