|IMDB_titleID|category|title|release_year|seasons|movie_duration|average_rating|number_rating|director|casting|country|date_added|parental_guideline|listed_in|summary
5115|/title/tt3463274/|TV Show|Chasing Monsters|2016|2||7.6|208||Cyril Chauquet|Canada| December 15, 2017|TV-PG|Docuseries, Reality TV, Science & Nature TV|Adventurer Cyril Chauquet seeks out the most colossal and dangerous underwater creatures around the world in this adrenaline-packed series.
5116|/title/tt5692740/|TV Show|The Windsors|2017|2||6.9|1424||Harry Enfield, Haydn Gwynne, Hugh Skinner, Louise Ford, Richard Goulding, Matthew Cottle, Morgana Robinson, Celeste Dring, Katy Wix, Ellie White|United Kingdom| December 15, 2017|TV-MA|British TV Shows, International TV Shows, TV Comedies|The all-too-public trials and tribulations of England's royal family are reimagined as an over-the-top comedic soap opera.
5117|/title/tt0290223/|TV Show|InuYasha|2001|2||7.9|13540||Kappei Yamaguchi, Satsuki Yukino, Kumiko Watanabe, Noriko Hidaka, Koji Tsujitani, Houko Kuwashima, Toshiyuki Morikawa, Richard Ian Cox, Moneca Stori, Paul Dobson, Kirby Morrow, Kelly Sheridan, Jillian Michaels|Japan| December 15, 2016|TV-14|Anime Series, International TV Shows|Yanked down a well, schoolgirl Kagome Higurashi emerges in feudal Japan, where she must reassemble a sacred jewel while eluding half-demon Inuyasha.
5118|/title/tt1199099/|TV Show|Merlin|2012|5||7.9|68454|James Hawes|Colin Morgan, Bradley James, Katie McGrath, Angel Coulby, Richard Wilson, Anthony Head, John Hurt, Nathaniel Parker|United Kingdom| December 15, 2016|TV-PG|British TV Shows, International TV Shows, TV Action & Adventure|This family-oriented retelling of the King Arthur legend finds Merlin arriving in Camelot, where he hones his magic skills with the help of his uncle.
5119|/title/tt1832979/|TV Show|Hart of Dixie|2014|4||7.7|42349||Rachel Bilson, Jaime King, Cress Williams, Wilson Bethel, Scott Porter, Tim Matheson, Kaitlyn Black, Ross Philips|United States| December 15, 2015|TV-PG|TV Comedies, TV Dramas|Fast-talking city girl Zoe Hart winds up patching up the locals of a tiny town in the Deep South when she inherits a medical practice in Alabama.
5120|/title/tt9437306/|TV Show|Fit for Fashion|2015|2||6.3|14||Louise Roe|| December 14, 2018|TV-14|International TV Shows, Reality TV|In this reality series, physique meets fashion as contestants compete in challenges to transform both body and image for the grand prize of $100,000.
5121|/title/tt6322264/|TV Show|Inside the World’s Toughest Prisons|2018|3||6.8|1011||Paul Connolly|United Kingdom| December 14, 2018|TV-MA|British TV Shows, Crime TV Shows, Docuseries|Investigative journalist Paul Connolly becomes a voluntary inmate in the world's most volatile prisons, where intimidation and brutality rule.
5122|/title/tt0053604/|TV Show|The Apartment|2014|2||8.3|151158||Jamie Durie, Laurence Llewelyn-Bowen|Singapore| December 14, 2018|TV-PG|International TV Shows, Reality TV|With their eyes on the grand prize, amateur designers push their creative limits in this reality competition show hosted by design icon Jamie Durie.
5123|/title/tt5651844/|TV Show|Travelers|2018|3||8.1|39705||Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Paul Abrahamson, Reilly Dolman, Patrick Gilmore|Canada, United States| December 14, 2018|TV-MA|Crime TV Shows, International TV Shows, TV Dramas|A federal agent tracks four people who suddenly seem to possess entirely new personalities, leading to a startling discovery about humanity's future.
5124|/title/tt5580664/|TV Show|Voltron: Legendary Defender|2018|8||8.2|6959||Jeremy Shada, Tyler Labine, Bex Taylor-Klaus, Josh Keaton, Steven Yeun, Kimberly Brooks, Rhys Darby, A.J. LoCascio|United States| December 14, 2018|TV-Y7-FV|Kids' TV|In an all-new series, five unlikely heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil.
5125|/title/tt2543312/|TV Show|Halt and Catch Fire|2017|4||8.4|25612||Lee Pace, Scoot McNairy, Mackenzie Davis, Kerry Bishé, Toby Huss, Aleksa Palladino, David Wilson Barnes, Morgan Hinkleman, James Cromwell, Manish Dayal, Annabeth Gish|United States| December 14, 2017|TV-14|TV Dramas|Re-creating the dawn of the personal computer era, this digital drama tracks the fates of an industry visionary and his brilliant colleagues.
5126|/title/tt0493464/|TV Show|Wanted|2018|3||6.7|348020||Rebecca Gibney, Geraldine Hakewill, Stephen Peacocke|Australia| December 13, 2018|TV-14|Crime TV Shows, International TV Shows, TV Dramas|Polar-opposite strangers Lola and Chelsea become partners on the run when they witness a murder involving dirty cops and are framed for the crime.
5127|/title/tt3006802/|TV Show|Outlander|2016|2||8.4|102962||Caitriona Balfe, Sam Heughan, Tobias Menzies, Gary Lewis, Graham McTavish, Lotte Verbeek, Duncan Lacroix, Laura Donnelly, Bill Paterson, Stephen Walters, Grant O'Rourke, Simon Callow, Richard Rankin, Sophie Skelton, David Berry, Romann Berrux, Ed Speleers, Maria Doyle Kennedy, Tim Downie|United States| December 10, 2019|TV-MA|Romantic TV Shows, TV Action & Adventure, TV Dramas|This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.
